gene_name,isoform_fdr,gene_name_lower,gene,exon_fdr,odds_ratio,log10_isoform_fdr,log10_exon_fdr,log2_odds_ratio,composite_score,min_fdr
Apc,0.00799680326761669,apc,APC,0.01489367276791847,21.88269962291039,2.097083582663358,1.8269981894491498,4.4517188921974356,8.375800664309944,0.00799680326761669
Hdac8,0.00807251946604249,hdac8,HDAC8,0.04370703978157451,28.19849580657173,2.0929908936735773,1.3594486056958939,4.817546352989936,8.269985852359408,0.00807251946604249
Cdan1,0.0275155886688229,cdan1,CDAN1,0.03624815335375402,38.164287846824784,1.5604211898738967,1.4407141122728804,5.2541514032947605,8.255286705441538,0.0275155886688229
Dync1h1,0.00120538599572944,dync1h1,DYNC1H1,0.01964327246116188,11.952169962847329,2.918873822477205,1.7067861572386085,3.5792007844631604,8.204860764178974,0.00120538599572944
Cdh2,0.00836432719585805,cdh2,CDH2,0.01612793537097615,17.43761591199464,2.0775689815927634,1.7924212228743905,4.124130984533959,7.994121189001113,0.00836432719585805
Map2k1,0.011855882675005,map2k1,MAP2K1,0.04020430949433261,25.209820740851654,1.9260661034285254,1.395727391375183,4.655914011794701,7.97770750659841,0.011855882675005
Dhcr7,4.2438186269656e-4,dhcr7,DHCR7,0.00726099895712781,5.181128952011849,3.372243082988939,2.139003619637821,2.3732667694154106,7.884513472042171,4.2438186269656e-4
Scn2a,0.0257154194159018,scn2a,SCN2A,3.693316885122577e-4,6.77443144428574,1.5898063862970002,3.4325833108669768,2.7601000838668046,7.782489781030781,3.693316885122577e-4
Idua,4.8374991059681e-4,idua,IDUA,0.03651767198529034,8.104867373896727,3.3153790124595726,1.437496915495255,3.0187887560243185,7.771664683979146,4.8374991059681e-4
Flna,0.00340456331440606,flna,FLNA,0.03692835574995748,14.6317154706319,2.46793857211271,1.432640027880737,3.8710271192107086,7.771605719204155,0.00340456331440606
Arid1b,2.9131189286937e-4,arid1b,ARID1B,0.04674283655113068,6.955454869745036,3.5356416357644496,1.3302849354065354,2.7981450740007774,7.664071645171763,2.9131189286937e-4
Gldc,1.5950204656423e-4,gldc,GLDC,0.0368858033966651,4.2969798297800725,3.797233467874969,1.4331407517103554,2.103323340797466,7.33369756038279,1.5950204656423e-4
Sox9,0.00890733936953059,sox9,SOX9,0.00215410070791583,5.698313176070297,2.050251995878465,2.6667339763875533,2.510535166723737,7.227521138989755,0.00215410070791583
Eda,0.00303955266076708,eda,EDA,0.02858383941704653,7.82665542192189,2.5171903137004534,1.5438794351297414,2.9683961141918345,7.029465863022029,0.00303955266076708
Ldlr,1.7023691852211e-4,ldlr,LDLR,0.02500976132973141,3.098319031225692,3.768945995416144,1.601890451022211,1.6314861704722536,7.002322616910609,1.7023691852211e-4
Chd4,0.00225889123384067,chd4,CHD4,0.03211771421303314,7.024354881474529,2.6461046607345655,1.4932553692637818,2.812365939325446,6.9517259693237925,0.00225889123384067
Puf60,0.0465758083594822,puf60,PUF60,0.02739305353750372,16.594553172482158,1.331839597914389,1.562359552120004,4.052637965533525,6.946837115567918,0.02739305353750372
Alg1,0.0243892989928363,alg1,ALG1,0.01156081636463484,10.121197674654937,1.612800680395062,1.9370114934618357,3.339308256418861,6.889120430275759,0.01156081636463484
Col1a1,0.0380057360963322,col1a1,COL1A1,0.04646247086258841,17.470677258786786,1.4201508504777491,1.3328976973149222,4.126863713536625,6.879912261329296,0.0380057360963322
Fgfr1,0.0353047036568198,fgfr1,FGFR1,0.00551544724584083,8.367622258377375,1.452167428336267,2.2584192571220396,3.0648178975329663,6.775404582991273,0.00551544724584083
Ar,0.0036247514689271,ar,AR,0.04370703978157451,7.679672518935764,2.4407217534905974,1.3594486056958939,2.9410449798755844,6.741215339062076,0.0036247514689271
Gdap1,0.00132424662846115,gdap1,GDAP1,0.04446342088794087,5.444350444705749,2.8780310913113945,1.35199712600435,2.444760198944941,6.674788416260686,0.00132424662846115
F8,0.0465356330664208,f8,F8,0.0071313478891936,8.084041079927356,1.3322143726759759,2.146828370718174,3.0150768314089538,6.494119574803104,0.0071313478891936
Ighmbp2,0.0231218898506128,ighmbp2,IGHMBP2,0.02596244820084322,8.850417560275412,1.6359766701833434,1.585654355268818,3.1457456857667605,6.367376711218922,0.0231218898506128
Capn3,0.0142796001825796,capn3,CAPN3,0.0106449150820569,5.12244133738884,1.8452839492474937,1.9728577946400698,2.356831839113264,6.174973583000828,0.0106449150820569
Pla2g6,0.0216379875673627,pla2g6,PLA2G6,0.03760672296942526,5.978632559349669,1.664783131069965,1.4247345079726794,2.5798157883676067,5.669333427410251,0.0216379875673627
