gene_name,isoform_fdr,gene_name_lower,gene,exon_fdr,odds_ratio,log10_isoform_fdr,log10_exon_fdr,log2_odds_ratio,composite_score,min_fdr
Celf2,8.97800743600398e-5,celf2,CELF2,0.00285021356183294,Inf,4.046819555500086,2.5451225825609836,10,16.59194213806107,8.97800743600398e-5
Kif1a,2.2459663642028e-4,kif1a,KIF1A,4.069906557520513e-6,186.41221069282028,3.6485965586932667,5.390404891046849,7.542352562490088,16.581354012230204,4.069906557520513e-6
Trio,4.1346560333488e-4,trio,TRIO,2.491788809592336e-6,181.46781208645112,3.3835605090138543,5.6034713402062195,7.503569870125345,16.49060171934542,2.491788809592336e-6
Mitf,0.0010234225329013,mitf,MITF,2.2540458415546858e-7,114.56501791276582,2.9899449828735207,6.646844625168777,6.840022791068027,16.476812399110326,2.2540458415546858e-7
Pax3,0.0315302022974983,pax3,PAX3,2.0723478634772035e-13,28.85134587967105,1.5012732414362204,9.999100922038021,4.850566765275113,16.350940928749353,2.0723478634772035e-13
Hr,6.14574744948455e-5,hr,HR,0.01174859897506846,Inf,4.211424583752448,1.930013916391402,10,16.14143850014385,6.14574744948455e-5
Sox5,0.00363468223910396,sox5,SOX5,2.9854611765639424e-8,72.3427570232785,2.4395335392485955,7.5235363048211745,6.1767766957930945,16.139846539862866,2.9854611765639424e-8
Smarce1,4.6637640150523e-4,smarce1,SMARCE1,2.5127875705410067e-5,285.61153856685286,3.3312633397321143,4.59984249650017,8.157910459546331,16.089016295778613,2.5127875705410067e-5
Cbl,0.0289114460535768,cbl,CBL,7.818058860815857e-8,162.2195086741203,1.538930184330366,7.106345917450493,7.341803528549916,15.987079630330776,7.818058860815857e-8
Dnajb6,0.0113444120069301,dnajb6,DNAJB6,9.910130217867891e-5,Inf,1.9452180053173167,4.00392020066957,10,15.949138205986888,9.910130217867891e-5
Crx,0.0331075783597146,crx,CRX,3.996729251187796e-5,Inf,1.4800725830668022,4.398294184355405,10,15.878366767422207,3.996729251187796e-5
Scn1a,3.85075017347386e-5,scn1a,SCN1A,0.03733855241235832,Inf,4.4144535285287265,1.4278425221684155,10,15.842296050697142,3.85075017347386e-5
Mapt,2.0115553325503e-4,mapt,MAPT,1.2350547536299454e-5,141.904516472314,3.6964678007396596,4.9083102720343215,7.148776707511211,15.753554780285192,1.2350547536299454e-5
